版本,年份,mAP(%),FPS,参数量(M),FLOPs(G),效率比,速度比
YOLOv1,2016,63.4,45,235.0,68.2,0.27,0.19
YOLOv2,2017,76.8,67,50.7,34.9,1.51,1.32
YOLOv3,2018,55.3,20,61.9,65.9,0.89,0.32
YOLOv4,2020,65.7,65,64.0,59.6,1.03,1.02
YOLOv5,2020,56.8,140,46.5,50.7,1.22,3.01
YOLOv6,2022,57.2,1234,18.5,45.3,3.09,66.7
YOLOv7,2022,56.8,161,36.9,104.7,1.54,4.36
YOLOv8,2023,53.9,280,25.9,78.9,2.08,10.81
YOLOv9,2024,53.0,227,25.3,76.8,2.09,8.97
YOLOv10,2024,54.4,300,24.4,70.5,2.23,12.3
YOLOv11,2024,55.2,320,20.1,65.2,2.75,15.92
